PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B189-600,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B189-750,Male,Standard,,ANA_1011B189-750,ANA_1011B188-021,ANA_1011B191-750
ANA_1011B189-750,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B191-001,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-001,ANA_1011B191-001
ANA_1011B191-001,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B191-002,Male,Extra Wide,,ANA_1011B189-002,ANA_1011B188-002,ANA_1011B191-002
ANA_1011B191-003,Male,Extra Wide,,ANA_1011B189-003,ANA_1011B188-003,ANA_1011B191-003
ANA_1011B191-003,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B191-005,Male,Extra Wide,,ANA_1011B189-005,ANA_1011B188-021,ANA_1011B191-005
ANA_1011B191-005,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B191-021,Male,Extra Wide,,ANA_1011B189-021,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B191-021,Male,Extra Wide,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-021
ANA_1011B192-001,Male,Standard,,ANA_1011B192-001,ANA_1011B398-001,
ANA_1011B192-002,Male,Standard,,ANA_1011B192-002,ANA_1011B398-001,
ANA_1011B192-002,Male,Standard,,ANA_1011B192-002,ANA_1011B398-001,
ANA_1011B192-003,Male,Standard,,ANA_1011B192-003,ANA_1011B398-001,
ANA_1011B192-020,Male,Standard,,ANA_1011B192-020,ANA_1011B398-001,
ANA_1011B192-021,Male,Standard,,ANA_1011B192-021,ANA_1011B398-001,
ANA_1011B192-301,Male,Standard,,ANA_1011B192-301,ANA_1011B398-001,
ANA_1011B192-301,Male,Standard,,ANA_1011B192-002,ANA_1011B398-001,
ANA_1011B192-400,Male,Standard,,ANA_1011B192-400,ANA_1011B398-001,
ANA_1011B192-402,Male,Standard,,ANA_1011B192-402,ANA_1011B398-001,
ANA_1011B337-020,Male,Extra Wide,,ANA_1011B338-020,,ANA_1011B337-020
ANA_1011B337-020,Male,Extra Wide,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B337-401,Male,Extra Wide,,ANA_1011B338-401,,ANA_1011B337-401
ANA_1011B337-401,Male,Extra Wide,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B337-409,Male,Extra Wide,,ANA_1011B338-409,,ANA_1011B337-409
ANA_1011B337-409,Male,Extra Wide,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-001,Male,Standard,,ANA_1011B338-001,,ANA_1011B337-409
ANA_1011B338-001,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-002,Male,Standard,,ANA_1011B338-002,,ANA_1011B337-409
ANA_1011B338-002,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-020,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-020,Male,Standard,,ANA_1011B338-020,,ANA_1011B337-020
ANA_1011B338-024,Male,Standard,,ANA_1011B338-024,,ANA_1011B337-409
ANA_1011B338-024,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-100,Male,Standard,,ANA_1011B451-100,,ANA_1011B337-409
ANA_1011B338-400,Male,Standard,,ANA_1011B338-400,,ANA_1011B337-409
ANA_1011B338-400,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-401,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-401,Male,Standard,,ANA_1011B338-401,,ANA_1011B337-409
ANA_1011B338-409,Male,Standard,,ANA_1011B338-409,,ANA_1011B337-409
ANA_1011B338-750,Male,Standard,,ANA_1011B338-750,,ANA_1011B337-409
ANA_1011B354-001,Male,Standard,,ANA_1011B354-001,ANA_1011B355-021,ANA_1011B356-002
